Unnamed: 0,word,meaning
1118,betrothed,A person someone has promised to marry or has been promised to as a marriage partner.
1119,biased,Showing an unreasonable like or dislike for a person based on personal opinions.
1120,cardinal,A priest of very high rank in the Roman Catholic Church.
1121,chivalry,"Very polite, honest, and kind behaviour, especially by men towards women."
1122,commoner,A person who is not born into a position of high social rank.
1123,conclave,A private meeting at which the discussions are kept secret.
1124,concur,To agree or have the same opinion.
1125,consummate,"Perfect, or complete in every way."
1126,destitute,"Without money, food, a home, or possessions."
1127,devotion,Loyalty and love or care for someone or something.
1128,dispensation,"Special permission, especially from the Church, to do something that is not usually allowed."
1129,dowry,"In some societies, an amount of money or property that a woman's parents give to the man she marries."
1130,endow,"To give a large amount of money to pay for creating a college, hospital, etc. or to provide an income for it."
1131,entrust,To give someone a thing or a duty for which they are responsible.
1132,gospel,Any of the four books of the Bible that contain details of the life of Jesus Christ.
1133,gown,"a special long dress worn by a woman, often for dancing or other special occasions"
1134,inconsolable,So sad or disappointed that it is impossible for anyone to make you feel better.
1135,joust,"(in the past) to fight with a lance (= a long pointed weapon) while riding on a horse, especially as a sport."
1136,licentious,very interested in sex in a way that is unpleasant or offensive
1137,nunnery,A convent.
1138,papal,relating to the pope
1139,piety,Strong belief in a religion that is shown in the way someone lives.
1140,presumptuous,showing too much confidence and not enough respect
1141,sentiment,"A thought, opinion, or idea based on a feeling about a situation, or a way of thinking about something."
1142,signatory,"A person, organization, or country that has signed an agreement."
1143,antipathy,"A feeling of strong dislike, opposition, or anger."
1144,befit,To be suitable or right for someone or something.
1145,beseech,To ask for something in a way that shows you need it very much.
1146,cleanse,To make something completely clean.
1147,daresay,Used to say that you agree or think that something is true.
1148,dominion,Control over a country or people.
1149,engrave,"To cut words, pictures, or patterns into the surface of metal, stone, etc.."
1150,generosity,The quality or condition of being generous.
1151,gracious,"Behaving in a pleasant, polite, calm way."
1152,groom,"To clean an animal, often by brushing its fur."
1153,heresy,an action or belief that opposes the official principles of a religion and is considered wrong
1154,intemperate,(of a person or their behaviour or speech) not controlled and too extreme or violent.
1155,liaison,Communication between people or groups who work with each other.
1156,linen,Strong cloth made from the fibres of the flax plant.
1157,pastry,"A food made from a mixture of flour, fat, and water, rolled flat and wrapped round or put over or under other foods and baked."
1158,reconcile,To find a way in which two situations or beliefs that are opposed to each other can agree and exist together.
1159,retinue,A group of people who travel with an important person to help them.
1160,virtuous,Having good moral qualities and behaviour.
1161,alas,an old word used for saying you are sad about something and you wish it had not happened
1162,ardent,Showing strong feelings.
1163,attentive,Listening carefully.
1164,bestow,To give something as an honour or present.
